YYYYMMDD,Precipitation duration (hour),Daily precipitation (mm),Maximum hourly precipitation (mm)
19481217,3.8,3.9,1.5
19481221,1.1,0.6,0.2
19481229,3.8,7.0,2.4
19481231,4.8,5.9,2.1
19490101,4.6,5.8,1.5
19490103,1.3,1.4,0.4
19490104,9.5,8.7,2.0
19490105,2.0,1.3,0.4
19490108,1.9,1.3,0.4
19490109,0.7,0.9,0.5
19490111,1.0,0.7,0.2
19490112,2.5,2.5,0.6
19490113,0.1,0.2,0.1
19490114,2.2,2.7,1.2
19490115,1.7,0.8,0.2
19490116,2.9,1.6,0.6
19490120,1.5,1.2,1.0
19490121,1.2,1.4,0.6
19490122,0.2,0.4,0.3
19490124,1.6,0.8,0.6
19490131,0.5,0.5,0.2
19490201,0.2,0.1,0.1
19490208,2.2,1.9,0.7
19490209,4.4,8.5,2.3
19490210,0.8,0.9,0.7
19490212,2.3,4.3,2.2
19490213,0.2,0.3,0.1
19490214,0.3,0.2,0.2
19490219,0.9,0.3,0.1
19490221,1.5,1.7,1.0
19490222,2.3,2.6,1.6
19490223,0.8,0.5,0.2
19490224,0.4,0.3,0.1
19490227,1.8,2.2,0.7
19490228,2.2,2.6,1.0
19490301,2.9,5.7,1.7
19490302,0.1,0.3,0.1
19490303,1.0,0.8,0.4
19490312,2.6,0.9,0.3
19490313,2.7,1.2,0.4
19490314,5.7,3.7,0.9
19490315,0.8,0.5,0.2
19490316,5.6,4.3,1.2
19490317,3.4,6.0,4.4
19490318,2.0,2.0,0.7
19490319,0.9,1.0,0.7
19490321,2.8,0.8,0.2
19490322,0.3,0.2,0.1
19490403,4.3,8.1,2.7
19490404,0.3,0.2,0.2
19490405,0.3,0.8,0.7
19490406,5.4,9.1,3.5
19490407,9.0,14.5,2.4
19490408,1.0,1.9,1.3
19490409,0.5,1.0,0.5
19490412,7.3,10.6,2.3
19490421,0.1,1.0,1.0
19490422,2.8,2.6,1.2
19490425,2.1,2.5,1.6
19490426,2.3,5.3,2.1
19490428,1.9,1.0,0.4
19490429,11.6,7.9,1.6
19490504,0.1,0.4,0.4
19490505,1.3,0.9,0.5
19490507,1.9,2.9,2.0
19490509,1.8,1.2,0.6
19490510,2.8,3.1,0.7
19490511,8.6,3.5,0.5
19490517,2.0,1.2,0.6
19490518,0.4,0.2,0.2
19490524,6.0,9.6,2.9
19490526,6.8,9.1,2.5
19490529,0.7,0.8,0.6
19490530,1.1,0.3,0.2
19490531,5.3,8.8,2.3
19490603,7.1,3.8,1.3
19490604,1.8,2.5,0.8
19490607,0.3,0.1,0.1
19490608,1.4,0.4,0.2
19490611,0.8,2.5,2.3
19490613,0.7,0.5,0.3
19490614,3.5,5.5,2.3
19490618,0.3,0.2,0.1
19490705,0.3,1.5,0.9
19490706,0.1,0.2,0.2
19490707,2.3,1.0,0.3
19490708,1.1,0.4,0.1
19490714,0.8,0.9,0.8
19490715,1.3,13.5,6.5
19490716,2.0,9.7,7.6
19490717,0.5,0.9,0.7
19490718,1.2,1.7,0.8
19490719,0.5,0.2,0.1
19490729,0.3,1.9,1.9
19490730,0.8,0.4,0.2
19490731,0.6,1.0,0.6
19490801,0.8,1.5,1.3
19490802,7.8,19.4,3.4
19490803,4.0,10.7,3.9
19490807,0.2,0.3,0.2
19490808,2.3,5.6,3.0
19490811,7.2,9.3,3.1
19490812,0.8,1.9,1.8
19490816,0.1,0.1,0.1
19490817,0.6,0.7,0.6
19490818,0.4,0.3,0.1
19490819,0.6,0.4,0.2
19490820,0.2,0.3,0.2
19490825,0.8,2.7,2.2
19490826,1.8,7.6,5.6
19490902,5.7,6.2,1.5
19490906,1.7,1.9,0.9
19490907,3.3,4.9,2.0
19490914,3.8,8.6,3.7
19490915,2.7,7.7,2.6
19490916,3.5,9.7,3.2
19490917,12.4,29.3,5.6
19490922,1.5,0.9,0.8
19490923,3.5,6.6,3.7
19490929,1.2,0.2,0.1
19491004,0.1,0.2,0.1
19491009,0.3,0.4,0.2
19491010,3.3,1.5,0.6
19491011,1.1,1.0,0.5
19491012,0.3,0.1,0.1
19491016,1.2,4.1,3.1
19491017,0.2,1.5,1.1
19491018,0.5,0.2,0.2
19491019,1.8,2.2,1.2
19491020,1.3,2.8,1.5
19491021,1.6,6.8,4.4
19491022,3.6,7.9,2.8
19491023,4.8,12.5,5.7
19491024,2.6,5.2,1.5
19491025,1.2,0.6,0.3
19491026,3.8,4.4,1.7
19491027,6.1,15.4,2.6
19491105,0.1,0.2,0.2
19491106,5.0,6.6,2.0
19491107,5.2,9.5,2.1
19491108,4.6,14.7,3.2
19491109,1.9,2.6,1.8
19491110,0.3,1.3,0.5
19491111,4.3,3.8,1.6
19491112,5.6,10.5,5.3
19491113,9.9,20.0,3.6
19491114,3.9,6.0,2.6
19491119,1.7,0.9,0.5
19491120,1.3,1.2,0.9
19491121,9.2,9.3,1.7
19491122,1.1,0.6,0.2
19491123,0.1,0.2,0.1
19491124,2.3,1.0,0.6
19491125,18.5,12.9,1.4
19491127,10.8,7.2,1.7
19491128,2.3,1.4,0.7
19491130,0.2,0.1,0.1
19491202,8.1,11.4,2.3
19491203,16.7,24.1,3.5
19491204,1.8,3.3,2.4
19491205,2.3,5.2,2.4
19491206,1.8,0.8,0.2
19491207,0.1,0.2,0.1
19491208,9.4,16.7,2.7
19491209,1.0,2.8,2.0
19491210,0.9,0.7,0.4
19491213,0.5,0.4,0.2
19491215,0.5,0.8,0.5
19491216,1.3,1.0,0.4
19491217,6.0,8.5,1.8
19491218,3.2,4.4,1.6
19491219,3.3,5.0,2.6
19491220,4.3,2.5,0.9
19491225,0.2,0.2,0.1
19491226,5.3,11.3,3.1
19491227,0.2,0.1,0.1
19500102,7.3,8.5,2.1
19500104,11.3,5.2,0.8
19500105,4.4,2.5,0.8
19500106,2.5,6.6,4.8
19500107,0.8,1.1,0.5
19500110,0.3,0.3,0.1
19500111,0.8,0.2,0.1
19500112,1.7,0.9,0.4
19500113,0.6,0.2,0.1
19500114,0.1,0.1,0.1
19500115,2.9,1.9,0.5
19500116,0.1,0.2,0.1
19500117,4.4,4.3,2.0
19500118,1.1,0.4,0.3
19500127,2.6,2.6,1.0
19500131,11.8,7.8,2.0
19500201,3.8,3.3,1.1
19500202,9.8,6.7,1.2
19500203,4.1,2.1,0.6
19500204,8.9,4.0,1.0
19500205,4.5,3.4,0.9
19500206,3.1,2.7,0.9
19500208,3.9,3.9,1.9
19500209,4.0,1.7,0.5
19500210,14.8,15.9,2.1
19500211,0.2,0.3,0.3
19500212,4.7,5.1,1.2
19500213,10.8,28.1,10.0
19500214,1.9,3.8,1.9
19500215,3.9,2.4,0.8
19500220,9.9,12.1,2.3
19500221,2.3,1.9,0.6
19500224,10.9,8.2,1.8
19500225,3.9,3.4,1.2
19500226,0.4,1.1,1.0
19500309,1.3,3.0,2.8
19500310,0.9,0.5,0.3
19500313,0.7,1.1,0.6
19500315,1.7,0.9,0.6
19500317,9.1,12.4,2.9
19500320,6.8,3.5,1.1
19500321,0.3,0.5,0.3
19500323,4.4,5.4,2.5
19500324,5.7,3.3,1.7
19500329,1.5,1.7,0.7
19500330,1.2,0.5,0.3
19500331,0.9,0.5,0.4
19500401,0.6,1.0,0.9
19500402,2.1,1.3,0.5
19500403,1.5,2.7,2.2
19500404,1.4,1.8,0.7
19500405,1.3,2.7,1.5
19500409,2.0,2.5,1.5
19500410,5.5,9.4,2.1
19500411,0.2,0.2,0.1
19500412,4.8,9.4,3.0
19500413,1.8,2.2,1.2
19500414,2.3,6.2,2.2
19500419,1.3,0.5,0.2
19500423,1.0,0.8,0.3
19500424,8.3,7.7,1.5
19500425,8.7,9.2,3.8
19500426,7.4,9.4,2.6
19500427,5.0,4.2,1.3
19500428,1.0,0.9,0.3
19500429,4.1,2.6,1.1
19500430,1.2,0.8,0.7
19500502,1.4,1.2,0.8
19500503,5.2,11.8,6.5
19500504,1.0,1.2,0.6
19500505,8.5,13.7,4.0
19500506,0.6,0.2,0.1
19500507,5.3,5.9,2.1
19500508,1.8,0.5,0.2
19500518,5.6,6.8,2.7
19500520,4.9,5.1,1.2
19500521,4.7,5.5,1.7
19500522,0.6,0.5,0.5
19500524,5.4,11.0,4.6
19500527,3.6,4.2,2.1
19500528,2.5,3.0,1.5
19500614,4.7,5.8,2.1
19500615,1.9,2.3,0.8
19500618,0.9,0.6,0.5
19500620,3.6,4.8,2.2
19500621,4.3,11.7,7.0
19500622,2.8,8.9,4.6
19500623,9.3,20.2,5.3
19500625,3.6,6.2,2.2
19500626,0.4,0.3,0.2
19500703,0.5,3.1,3.1
19500705,9.1,17.6,4.3
19500706,0.8,1.7,1.7
19500707,1.9,1.1,0.7
19500709,0.1,0.4,0.4
19500710,1.6,9.5,8.9
19500711,4.2,14.0,4.9
19500714,3.9,6.4,3.6
19500716,1.2,0.8,0.7
19500717,0.8,0.8,0.7
19500719,0.3,0.2,0.2
19500721,0.6,14.7,14.7
19500723,6.7,6.7,1.9
19500724,1.8,4.5,4.2
19500725,0.8,0.5,0.5
19500729,3.0,11.9,7.5
19500731,0.5,1.0,0.9
19500801,0.5,0.9,0.7
19500802,5.3,6.3,1.5
19500803,12.5,34.2,11.3
19500804,1.9,4.7,2.7
19500810,4.1,7.4,3.6
19500813,9.3,7.9,1.9
19500816,2.9,4.0,1.5
19500818,0.3,0.6,0.5
19500821,0.2,0.2,0.2
19500822,2.3,1.5,0.6
19500823,2.3,18.6,13.9
19500824,1.6,6.8,3.4
19500826,0.6,5.6,4.9
19500828,0.4,0.1,0.1
19500829,2.4,8.1,5.9
19500831,3.9,5.2,2.0
19500902,5.6,6.0,1.6
19500904,1.6,0.9,0.5
19500905,3.1,2.7,1.0
19500907,4.3,4.1,1.5
19500908,1.5,2.3,1.6
19500909,6.1,3.9,1.0
19500910,5.8,3.2,0.8
19500912,1.3,1.0,0.5
19500914,4.0,2.8,1.0
19500915,7.0,20.2,8.9
19500916,0.8,1.7,1.5
19500917,1.8,2.1,1.4
19500918,3.8,2.9,1.3
19500919,0.5,1.1,0.9
19500920,2.5,7.7,4.4
19500921,4.3,5.7,1.2
19500922,3.0,6.1,1.6
19500923,3.3,3.5,1.1
19500924,11.9,8.2,1.0
19500925,6.1,8.4,2.3
19500926,2.0,4.0,1.4
19500929,4.3,3.7,1.6
19500930,1.4,0.7,0.4
19501002,1.3,6.4,2.9
19501003,0.5,0.4,0.3
19501008,0.3,0.5,0.5
19501010,1.3,0.8,0.4
19501011,0.8,0.6,0.3
19501016,3.3,2.1,1.1
19501017,5.8,9.2,2.4
19501028,3.3,2.2,1.4
19501029,4.5,3.0,0.9
19501030,0.3,0.3,0.2
19501102,8.8,10.9,2.7
19501103,15.3,25.7,4.7
19501104,0.8,0.5,0.1
19501106,0.3,0.2,0.1
19501107,0.2,0.7,0.7
19501108,0.8,0.2,0.1
19501109,0.7,0.6,0.5
19501110,12.4,21.7,2.7
19501111,1.2,1.5,1.1
19501112,3.1,4.1,1.5
19501113,5.3,13.2,4.2
19501114,3.0,7.2,1.3
19501115,3.0,7.6,2.5
19501116,1.8,0.7,0.4
19501117,1.1,1.8,1.1
19501118,0.3,0.2,0.1
19501119,4.5,4.0,1.0
19501120,0.2,0.2,0.2
19501121,7.5,7.1,1.1
19501122,0.7,0.6,0.3
19501123,4.9,5.3,1.6
19501124,0.8,0.7,0.4
19501125,0.7,0.7,0.4
19501128,12.6,8.3,1.6
19501129,5.7,6.6,1.1
19501201,12.3,20.0,2.5
19501202,0.1,0.2,0.1
19501203,2.8,1.8,0.7
19501204,7.7,10.2,2.6
19501205,4.9,10.3,3.2
19501206,0.1,0.2,0.1
19501207,12.5,5.0,0.8
19501210,5.6,4.7,1.6
19501211,9.2,14.1,2.1
19501212,5.4,6.4,1.2
19501213,0.3,0.4,0.2
19501215,13.2,10.3,1.3
19501216,1.8,0.5,0.1
19501217,6.9,1.9,0.3
19501221,0.8,0.2,0.1
19501222,0.9,0.4,0.1
19501227,4.6,1.3,0.2
19501231,1.1,0.7,0.6
19510101,3.2,2.3,0.8
19510102,6.0,2.5,0.5
19510104,5.2,1.7,0.4
19510105,7.3,6.2,2.0
19510106,2.3,1.3,0.4
19510107,0.1,0.2,0.2
19510108,4.5,2.9,1.1
19510109,1.9,2.6,1.6
19510110,2.9,3.2,1.3
19510111,14.9,11.6,1.2
19510112,2.2,2.8,1.4
19510113,2.1,3.0,1.2
19510114,0.9,2.6,1.1
19510115,4.9,4.3,1.1
19510117,7.3,15.7,4.6
19510118,7.4,10.4,1.7
19510119,5.9,3.7,0.9
19510120,6.0,2.7,0.7
19510121,5.2,3.7,1.1
19510122,2.1,1.4,0.4
19510123,0.3,0.3,0.3
19510127,2.6,1.2,0.4
19510203,0.8,0.1,0.1
19510204,6.8,4.3,1.3
19510205,0.5,0.2,0.1
19510207,0.6,0.4,0.2
19510208,6.4,3.6,0.6
19510209,2.2,1.6,1.1
19510211,1.5,1.3,0.8
19510213,6.0,5.2,1.5
19510214,2.0,0.8,0.3
19510216,1.5,0.8,0.3
19510217,8.0,11.8,3.4
19510218,4.2,2.7,0.7
19510219,2.8,5.1,1.6
19510220,3.5,8.8,4.5
19510221,5.8,7.6,2.6
19510222,1.9,2.0,1.0
19510223,0.4,0.5,0.2
19510224,2.0,5.9,4.6
19510225,2.6,1.5,0.9
19510226,0.4,0.4,0.2
19510311,2.6,1.0,0.5
19510312,7.5,5.5,1.3
19510313,2.4,5.0,2.2
19510314,2.3,2.3,1.0
19510315,0.3,0.1,0.1
19510316,3.9,3.6,1.4
19510317,11.1,15.0,4.0
19510318,1.8,1.9,0.5
19510319,3.0,2.9,1.0
19510322,4.2,3.7,1.4
19510323,7.8,8.3,2.2
19510324,4.5,7.8,1.7
19510325,4.6,3.6,0.5
19510326,8.6,15.6,3.9
19510327,8.2,4.5,1.0
19510328,3.6,2.2,0.6
19510329,1.4,1.1,0.3
19510330,1.5,4.4,3.4
19510401,1.9,5.0,1.8
19510402,1.5,2.8,1.3
19510404,6.1,11.9,3.1
19510405,0.3,0.2,0.1
19510406,8.0,6.3,1.7
19510407,5.1,8.2,2.0
19510408,1.4,2.0,0.8
19510409,5.3,6.5,1.8
19510410,10.6,10.8,3.0
19510411,0.3,0.3,0.2
19510413,3.2,4.1,1.5
19510414,1.8,5.7,2.2
19510416,5.4,3.2,0.8
19510427,2.1,1.3,0.8
19510428,11.1,10.3,2.4
19510429,0.2,0.1,0.1
19510504,5.7,5.1,1.8
19510505,0.1,0.1,0.1
19510506,3.5,5.6,1.8
19510508,8.6,7.3,1.6
19510509,1.2,0.8,0.6
19510514,0.1,0.1,0.1
19510515,1.8,1.2,0.5
19510516,0.2,0.1,0.1
19510517,1.1,1.0,0.9
19510518,0.5,0.6,0.5
19510521,6.6,6.0,2.5
19510522,2.6,3.5,2.5
19510524,2.1,2.5,1.5
19510525,3.7,5.7,1.9
19510526,2.4,5.5,3.0
19510528,1.2,2.8,2.3
19510610,0.2,0.3,0.2
19510612,1.1,4.1,1.6
19510613,0.1,0.1,0.1
19510615,1.3,1.5,0.8
19510619,0.8,1.0,0.9
19510622,2.3,1.2,0.5
19510623,7.3,10.4,3.1
19510624,1.2,2.8,2.3
19510625,0.4,0.1,0.1
19510626,7.9,14.2,3.5
19510627,3.6,3.0,0.8
19510703,0.5,0.6,0.3
19510704,2.4,12.0,9.8
19510708,2.8,13.5,8.2
19510709,0.4,0.5,0.3
19510710,1.7,2.1,0.9
19510711,3.1,2.7,1.2
19510712,0.1,0.1,0.1
19510714,3.8,2.9,1.3
19510715,2.9,1.5,0.8
19510718,0.3,0.1,0.1
19510722,0.6,1.8,1.8
19510723,0.3,0.4,0.3
19510724,0.8,0.9,0.8
19510725,0.8,1.0,0.7
19510731,1.9,4.2,2.4
19510801,2.8,7.1,5.2
19510803,1.3,0.6,0.4
19510804,3.3,14.3,10.1
19510805,0.3,2.5,2.4
19510806,2.1,10.8,5.3
19510807,1.5,2.6,1.2
19510808,1.4,4.4,2.2
19510809,11.0,30.1,7.0
19510810,0.3,0.5,0.3
19510811,2.2,1.6,0.5
19510812,6.6,10.0,2.7
19510813,1.9,7.7,3.2
19510814,1.6,1.4,0.9
19510815,2.0,1.4,0.8
19510817,1.8,2.7,2.0
19510819,1.8,2.7,0.7
19510820,0.1,0.1,0.1
19510822,0.6,0.3,0.1
19510823,0.3,0.4,0.3
19510826,1.1,1.5,0.6
19510827,0.8,1.0,0.6
19510828,6.2,5.3,2.9
19510829,2.7,3.5,1.4
19510830,1.1,3.9,2.8
19510831,2.9,4.6,3.1
19510901,3.6,4.6,2.6
19510902,8.5,11.8,4.0
19510903,1.8,1.0,0.5
19510904,0.2,0.2,0.2
19510911,2.2,2.3,1.1
19510912,1.5,1.2,0.7
19510913,1.3,2.7,1.8
19510915,1.6,1.1,0.5
19510916,4.8,4.4,1.2
19510917,1.1,1.7,0.7
19510918,0.6,4.4,4.4
19510919,3.3,11.4,8.6
19510920,0.4,0.5,0.3
19510923,2.3,2.9,1.1
19510924,0.8,1.1,0.4
19510926,2.1,2.4,0.9
19510928,2.1,5.5,3.1
19511018,2.6,1.0,0.4
19511021,4.2,6.6,2.5
19511024,0.2,0.3,0.1
19511029,0.9,0.5,0.3
19511030,4.6,4.3,1.9
19511031,1.8,1.3,0.7
19511102,3.8,4.8,1.8
19511103,1.6,2.2,0.8
19511106,1.1,0.8,0.5
19511107,7.5,9.5,2.3
19511110,0.6,0.7,0.3
19511111,3.4,3.9,1.7
19511113,9.7,5.9,1.0
19511114,7.2,5.0,1.0
19511115,2.2,2.4,1.3
19511116,6.2,7.9,1.9
19511117,1.1,0.6,0.2
19511118,0.2,0.2,0.1
19511119,2.2,1.2,0.4
19511121,5.8,15.7,3.2
19511122,6.6,17.9,4.6
19511123,0.8,0.5,0.2
19511124,5.8,8.5,2.8
19511125,6.1,13.7,3.8
19511126,0.9,0.9,0.3
19511128,2.9,4.1,2.7
19511129,5.2,5.1,1.4
19511203,1.6,1.1,0.6
19511204,5.3,3.0,1.1
19511206,10.8,8.4,1.7
19511207,0.5,0.3,0.2
19511208,3.7,4.4,1.5
19511209,3.4,5.6,1.5
19511210,4.6,5.0,1.3
19511216,2.0,1.3,0.5
19511220,0.6,0.2,0.1
19511221,0.3,0.3,0.1
19511223,2.3,1.5,0.4
19511224,1.6,2.5,1.4
19511225,6.7,7.1,1.8
19511227,3.5,5.8,2.5
19511228,2.0,2.0,1.5
19511229,3.8,1.6,0.7
19511230,1.0,0.8,0.3
19520101,3.5,3.3,1.3
19520102,9.0,14.8,5.5
19520103,1.9,3.4,2.3
19520104,2.3,4.7,2.3
19520105,1.3,0.4,0.3
19520107,1.5,0.7,0.2
19520109,3.4,3.9,1.6
19520110,14.0,5.4,0.6
19520111,3.7,3.4,1.5
19520112,1.7,1.5,1.0
19520113,0.9,1.2,1.0
19520114,4.3,4.8,2.3
19520115,0.1,0.1,0.1
19520116,4.6,5.0,2.0
19520117,4.9,5.5,1.3
19520118,7.7,6.8,2.3
19520119,1.8,1.8,1.0
19520120,8.2,3.2,0.9
19520121,2.1,0.8,0.2
19520124,0.5,0.2,0.2
19520125,0.3,0.2,0.1
19520126,7.0,1.7,0.3
19520127,9.4,8.7,3.0
19520128,3.1,1.6,0.7
19520130,1.2,0.3,0.2
19520131,11.2,16.3,2.5
19520201,2.1,3.5,1.3
19520203,1.8,4.1,1.6
19520204,0.1,0.3,0.2
19520206,2.8,1.3,0.5
19520207,0.3,0.2,0.1
19520208,0.6,1.1,0.5
19520209,0.8,2.2,1.1
19520210,8.7,10.5,2.4
19520211,5.3,5.0,1.8
19520212,1.0,0.5,0.2
19520213,2.4,0.9,0.5
19520214,1.1,0.2,0.1
19520216,1.1,0.9,0.5
19520217,0.9,0.4,0.4
19520218,0.1,0.3,0.2
19520219,0.1,0.3,0.1
19520220,2.4,0.6,0.2
19520221,0.1,0.1,0.1
19520225,0.1,0.1,0.1
19520229,3.5,2.7,0.9
19520301,1.0,0.5,0.4
19520304,1.4,2.9,2.6
19520305,5.0,6.5,1.8
19520307,1.8,1.7,1.0
19520308,2.9,1.8,1.1
19520309,4.6,0.9,0.3
19520310,7.5,1.9,0.4
19520318,1.2,2.2,2.1
19520320,5.6,3.6,1.3
19520321,0.9,0.8,0.8
19520322,8.8,9.6,1.7
19520324,7.3,5.3,2.0
19520325,11.7,8.8,2.2
19520326,0.6,1.3,1.0
19520329,7.8,8.5,2.7
19520330,12.7,3.8,0.7
19520331,1.0,0.2,0.2
19520402,0.9,1.1,0.5
19520406,4.8,4.4,1.4
19520407,7.3,7.5,1.3
19520408,2.8,0.9,0.4
19520420,2.3,3.4,1.4
19520421,1.3,2.0,1.1
19520422,0.4,0.5,0.3
19520423,1.0,2.9,2.0
19520427,2.3,1.4,0.7
19520428,4.7,7.0,3.3
19520503,1.8,1.5,0.8
19520504,1.2,0.9,0.5
19520505,0.7,0.4,0.4
19520506,0.8,0.9,0.6
19520507,1.0,1.1,1.0
19520509,0.7,0.5,0.3
19520511,0.9,1.4,0.5
19520512,0.2,1.0,1.0
19520526,2.3,1.0,0.3
19520527,2.2,3.9,2.4
19520528,5.7,4.0,1.2
19520529,0.5,0.8,0.5
19520531,3.8,4.3,1.2
19520601,4.8,4.3,1.1
19520602,1.1,1.3,0.4
19520606,2.8,5.2,2.3
19520607,3.5,2.0,1.4
19520608,2.7,1.8,0.9
19520609,2.0,0.6,0.4
19520613,0.9,3.9,2.0
19520614,0.5,0.2,0.1
19520615,6.7,5.8,1.0
19520617,0.2,0.5,0.5
19520619,1.0,3.4,2.3
19520620,0.5,1.0,1.0
19520621,4.5,3.8,0.8
19520622,7.0,8.7,3.5
19520703,4.9,52.2,26.9
19520704,5.0,14.1,5.0
19520707,0.3,0.1,0.1
19520709,3.6,1.5,0.6
19520712,2.6,4.1,1.9
19520715,1.4,2.2,1.4
19520717,0.6,2.2,1.8
19520718,3.3,4.0,2.5
19520724,0.3,0.2,0.1
19520727,0.9,0.6,0.3
19520728,4.7,11.4,3.5
19520729,0.8,3.3,1.8
19520730,1.1,1.5,0.9
19520801,2.6,12.5,7.1
19520802,2.2,6.2,4.8
19520803,0.6,8.1,4.5
19520806,3.0,4.8,3.6
19520807,3.4,3.5,1.2
19520808,4.5,6.2,2.9
19520809,5.5,6.0,2.0
19520810,1.2,1.0,0.7
19520811,0.6,0.2,0.2
19520815,1.3,3.7,2.5
19520816,1.3,1.0,0.6
19520817,4.5,8.7,3.9
19520818,1.9,1.4,0.7
19520819,8.5,6.5,1.3
19520820,8.3,14.3,3.4
19520821,1.0,1.0,0.7
19520827,0.3,0.2,0.2
19520901,0.4,0.1,0.1
19520903,5.2,11.8,4.5
19520904,4.5,3.2,0.8
19520905,2.6,9.0,4.6
19520906,2.4,1.1,0.5
19520907,0.4,0.2,0.1
19520917,4.6,1.8,0.7
19520918,2.5,0.9,0.4
19520919,3.9,2.1,1.0
19520920,1.5,0.9,0.2
19520921,8.1,3.8,0.9
19520922,1.3,0.7,0.3
19520925,10.8,17.5,2.9
19520926,5.5,11.6,5.9
19520927,3.1,5.9,2.1
19520928,1.6,2.1,1.6
19520929,5.0,2.7,1.2
19520930,5.7,3.8,0.7
19521001,4.7,3.3,1.0
19521002,3.6,2.0,0.6
19521004,1.1,1.2,1.0
19521005,0.8,0.2,0.1
19521006,2.0,1.8,1.4
19521007,1.7,1.0,0.2
19521008,0.3,0.1,0.1
19521009,2.6,4.6,2.2
19521010,2.7,3.6,2.0
19521011,0.9,0.6,0.3
19521013,5.5,5.1,1.2
19521014,4.6,4.5,1.9
19521015,9.1,7.4,2.4
19521016,3.1,1.6,1.1
19521022,0.6,0.2,0.1
19521023,0.7,0.4,0.3
19521024,3.4,5.4,3.9
19521025,1.8,1.4,0.6
19521027,0.1,0.3,0.1
19521028,6.7,7.3,1.8
19521029,0.4,0.8,0.4
19521030,3.6,6.4,2.1
19521031,3.1,5.4,2.4
19521101,5.5,3.9,0.9
19521102,5.8,13.2,4.0
19521103,3.4,2.3,0.9
19521104,2.7,1.2,0.6
19521105,5.9,2.8,1.0
19521106,8.2,13.9,4.5
19521107,7.3,8.6,2.3
19521108,6.1,2.4,0.5
19521109,3.3,2.9,1.2
19521110,7.0,6.7,1.3
19521111,3.5,3.8,0.8
19521112,0.3,0.2,0.1
19521113,0.3,0.2,0.1
19521116,4.1,1.6,0.7
19521119,1.1,2.2,2.1
19521120,2.6,1.6,1.0
19521121,5.5,2.9,0.7
19521122,1.0,0.1,0.1
19521123,4.1,6.7,3.8
19521124,3.9,1.7,0.5
19521125,2.5,0.3,0.1
19521127,1.9,0.9,0.7
19521128,5.3,7.0,2.0
19521130,0.5,0.4,0.4
19521202,0.5,0.5,0.5
19521203,1.7,1.9,0.9
19521210,0.3,0.1,0.1
19521211,4.8,1.5,0.6
19521212,3.8,2.4,0.5
19521213,3.8,2.3,0.8
19521214,2.5,2.6,1.0
19521215,2.9,4.2,3.4
19521216,6.8,9.1,2.7
19521217,8.3,8.9,1.7
19521218,0.3,0.4,0.3
19521219,5.6,2.9,0.7
19521220,6.8,10.8,4.6
19521221,2.2,0.8,0.5
19521222,4.1,4.6,2.3
19521223,6.1,3.1,1.0
19521224,10.1,14.1,4.2
19521226,8.5,10.4,2.9
19521227,7.2,3.2,0.7
19521228,2.4,0.9,0.4
19521231,13.8,9.9,1.8
19530101,0.3,0.1,0.1
19530109,4.4,0.5,0.1
19530110,0.3,0.1,0.1
19530115,2.6,0.7,0.3
19530116,1.0,0.1,0.1
19530117,3.5,0.5,0.2
19530118,0.5,0.1,0.1
19530119,2.9,0.5,0.1
19530123,0.9,0.2,0.1
19530125,3.0,1.8,0.6
19530127,5.3,3.0,1.1
19530131,13.5,15.2,2.4
19530201,21.7,16.8,1.3
19530202,5.3,5.4,0.6
19530204,2.8,5.4,3.0
19530205,2.5,1.8,0.8
19530206,3.8,1.3,0.6
19530207,1.0,0.2,0.2
19530208,6.5,3.0,0.7
19530209,12.6,13.0,2.1
19530210,9.1,10.4,2.5
19530211,10.1,7.0,2.0
19530212,8.6,1.1,0.2
19530213,0.4,0.1,0.1
19530214,2.7,0.4,0.1
19530217,6.4,1.3,0.3
19530218,1.8,0.3,0.1
19530219,1.0,0.1,0.1
19530220,0.8,0.2,0.1
19530222,0.3,0.4,0.2
19530305,2.0,0.2,0.1
19530306,1.0,0.1,0.1
19530307,0.3,0.5,0.4
19530311,4.5,2.7,0.8
19530326,1.6,1.1,1.0
19530328,7.3,4.5,1.2
19530330,3.3,4.9,3.0
19530331,0.2,0.3,0.3
19530401,1.5,0.8,0.5
19530403,16.4,19.1,2.6
19530404,7.6,5.3,2.0
19530405,1.7,7.0,3.3
19530406,0.7,0.7,0.3
19530407,1.1,1.9,1.7
19530412,2.1,0.3,0.1
19530413,4.8,3.6,1.6
19530414,1.8,1.3,0.8
19530415,1.3,0.2,0.1
19530427,6.2,6.9,2.9
19530428,2.4,2.5,1.0
19530429,2.5,6.0,2.2
19530506,0.4,0.1,0.1
19530509,0.3,0.7,0.7
19530514,2.4,2.3,1.6
19530515,3.0,7.8,6.2
19530516,0.2,1.7,1.7
19530518,1.0,0.1,0.1
19530519,0.5,0.3,0.3
19530522,0.3,0.3,0.3
19530526,1.1,4.3,3.9
19530527,1.7,1.0,0.7
19530529,2.4,3.1,1.5
19530530,3.4,2.9,0.7
19530531,7.1,6.6,1.1
19530601,3.2,8.1,6.2
19530602,10.4,16.9,3.4
19530604,1.8,0.8,0.5
19530610,2.3,0.4,0.2
19530611,0.2,0.1,0.1
19530613,4.5,46.7,44.1
19530615,1.1,1.6,0.8
19530617,1.9,5.9,5.0
19530618,1.1,2.1,1.8
19530619,1.3,0.2,0.1
19530622,2.9,6.9,3.0
19530623,6.3,9.2,4.7
19530624,3.5,2.5,1.3
