YYYYMMDD,Precipitation duration (hour),Daily precipitation (mm),Maximum hourly precipitation (mm)
19310113,8.3,2.5,0.4
19310115,2.2,1.9,0.7
19310116,6.7,9.5,2.4
19310117,3.6,5.6,2.0
19310118,1.7,3.3,1.3
19310119,5.9,4.6,1.3
19310120,0.3,0.4,0.2
19310122,0.3,0.3,0.3
19310123,8.2,10.1,1.9
19310124,1.1,4.1,2.1
19310126,1.7,5.3,1.9
19310127,5.3,5.7,1.3
19310128,3.6,2.4,0.6
19310129,4.0,3.2,1.0
19310130,0.6,0.7,0.3
19310202,0.6,0.4,0.3
19310203,0.7,0.2,0.1
19310209,4.8,2.6,0.9
19310210,4.9,5.7,1.3
19310211,3.8,10.9,4.6
19310212,2.0,3.1,1.5
19310213,2.4,2.2,0.8
19310214,0.2,0.2,0.1
19310215,1.4,1.5,1.2
19310216,9.8,9.7,2.0
19310217,0.3,0.1,0.1
19310218,4.7,4.1,1.1
19310221,8.9,12.5,2.6
19310223,0.2,0.6,0.6
19310224,0.1,0.1,0.1
19310225,3.5,3.2,0.9
19310226,5.5,7.9,2.4
19310228,17.5,24.2,3.3
19310301,0.7,0.4,0.3
19310310,2.8,3.4,1.3
19310311,5.3,4.0,1.4
19310312,2.3,2.3,1.0
19310328,1.2,0.5,0.3
19310404,3.4,1.7,0.7
19310405,4.0,4.8,1.5
19310406,1.7,4.0,2.3
19310407,0.2,0.1,0.1
19310409,1.3,0.4,0.2
19310410,2.1,1.9,0.9
19310412,0.2,0.2,0.2
19310413,1.8,1.6,0.9
19310414,0.2,0.3,0.2
19310416,0.1,0.1,0.1
19310417,8.1,10.6,2.9
19310418,0.2,0.3,0.2
19310419,8.9,4.5,0.9
19310420,2.8,2.7,1.2
19310422,0.2,0.3,0.3
19310423,0.4,1.9,1.4
19310424,0.4,0.7,0.4
19310425,4.3,5.5,2.5
19310426,2.0,5.5,1.4
19310427,6.2,4.3,0.9
19310428,5.9,3.6,0.9
19310429,3.0,4.2,1.9
19310430,0.1,0.1,0.1
19310502,1.1,0.8,0.7
19310503,4.4,4.7,1.6
19310504,1.9,0.8,0.3
19310507,10.9,55.2,11.2
19310513,0.1,0.1,0.1
19310514,0.3,1.4,1.1
19310515,0.7,1.4,0.8
19310516,1.3,2.3,2.2
19310517,8.8,20.9,3.7
19310519,0.1,0.1,0.1
19310521,0.6,1.0,0.8
19310522,1.8,2.2,1.4
19310527,3.3,5.5,2.4
19310528,0.2,0.4,0.4
19310529,0.5,1.1,0.6
19310530,0.3,0.3,0.2
19310531,3.5,7.1,4.6
19310601,1.6,12.7,10.8
19310603,0.6,0.3,0.1
19310606,5.7,12.9,4.7
19310607,5.1,5.2,3.6
19310608,5.4,6.0,1.4
19310609,3.8,3.0,0.8
19310610,1.4,3.8,2.1
19310614,1.3,27.2,18.7
19310615,1.2,3.0,2.0
19310619,0.9,1.9,1.3
19310620,0.3,0.5,0.5
19310624,0.1,1.1,1.1
19310702,0.1,0.1,0.1
19310705,0.3,4.2,4.2
19310706,2.5,3.5,1.3
19310707,2.7,2.9,1.8
19310708,2.4,14.7,13.7
19310709,4.6,2.3,0.4
19310710,0.3,0.4,0.2
19310712,0.3,0.5,0.3
19310713,1.0,8.4,8.3
19310714,1.0,5.4,2.3
19310715,6.8,14.8,4.5
19310716,1.7,6.1,5.4
19310717,3.9,9.7,1.8
19310718,3.3,4.2,1.9
19310719,4.5,12.2,3.8
19310720,0.8,4.3,1.8
19310721,0.7,1.3,0.5
19310725,1.3,7.6,2.7
19310726,5.2,10.1,3.2
19310727,2.2,4.8,1.2
19310728,1.2,3.7,2.2
19310729,1.0,0.9,0.5
19310730,0.3,0.5,0.5
19310804,3.0,15.9,12.4
19310805,0.8,0.7,0.3
19310806,0.8,1.6,1.5
19310808,2.4,8.3,3.8
19310809,1.4,2.3,1.3
19310810,3.8,7.7,2.5
19310811,2.3,3.3,1.2
19310812,0.5,0.2,0.1
19310813,2.4,1.4,0.6
19310814,0.9,1.6,1.4
19310815,0.8,3.7,3.2
19310816,1.3,5.8,2.9
19310817,0.5,1.2,0.6
19310819,7.9,11.0,5.7
19310821,3.0,4.8,1.4
19310822,0.6,2.9,2.2
19310823,0.3,1.1,1.0
19310825,4.2,1.4,0.4
19310902,0.1,0.3,0.2
19310903,0.2,5.6,5.6
19310904,2.3,7.5,3.2
19310905,8.3,3.8,0.6
19310906,2.3,3.4,0.5
19310907,1.0,2.4,1.3
19310908,0.4,0.7,0.4
19310909,0.6,1.1,0.8
19310912,2.1,2.2,1.5
19310913,0.8,1.9,0.5
19310917,0.3,0.2,0.2
19310919,0.5,0.3,0.2
19310920,0.3,0.5,0.4
19310921,0.3,1.7,1.2
19310922,0.3,0.2,0.2
19310925,1.3,0.5,0.2
19310928,1.2,1.7,0.5
19311002,2.3,3.2,1.9
19311005,0.4,0.4,0.2
19311007,5.7,13.1,4.2
19311008,0.1,0.1,0.1
19311014,0.1,0.1,0.1
19311020,0.5,1.3,0.6
19311021,0.8,2.1,0.8
19311024,2.4,2.0,1.2
19311028,0.5,1.6,0.8
19311029,2.4,3.7,1.0
19311030,4.9,11.0,4.0
19311031,0.4,0.8,0.6
19311101,0.6,0.4,0.3
19311104,0.7,0.5,0.3
19311105,2.9,3.8,1.6
19311106,0.8,0.7,0.5
19311107,3.2,2.0,0.8
19311109,3.8,8.2,3.0
19311110,2.3,1.9,0.8
19311111,4.0,5.0,1.2
19311122,0.1,0.1,0.1
19311124,6.0,4.1,1.8
19311126,4.5,2.6,0.5
19311127,2.0,2.1,1.2
19311128,6.1,3.7,1.1
19311129,0.5,0.4,0.3
19311203,3.6,4.5,2.1
19311204,1.9,3.2,1.8
19311205,1.6,2.0,1.2
19311206,0.3,0.3,0.2
19311209,1.3,2.4,1.0
19311210,3.7,2.4,0.6
19311211,0.1,0.1,0.1
19311213,0.3,0.1,0.1
19311215,0.5,0.4,0.3
19311218,0.6,0.4,0.2
19311220,1.2,1.1,0.4
19311224,3.5,3.2,1.2
19311225,1.6,1.1,0.6
19311226,1.3,0.7,0.3
19311228,3.1,5.1,2.7
19311229,2.2,2.5,1.1
19311230,4.8,6.2,1.5
19320101,1.5,1.9,1.1
19320102,5.0,7.3,1.7
19320103,3.8,5.1,1.6
19320106,12.1,24.3,4.5
19320107,1.4,1.7,0.7
19320111,2.8,2.0,0.9
19320112,2.4,1.5,0.6
19320113,2.9,2.6,0.9
19320115,0.3,0.5,0.2
19320117,0.5,1.0,0.8
19320119,0.7,0.5,0.2
19320201,0.4,0.5,0.4
19320202,0.2,0.2,0.2
19320203,0.3,0.2,0.1
19320204,0.7,0.4,0.2
19320205,0.1,0.1,0.1
19320208,0.5,1.3,1.2
19320209,0.5,0.4,0.2
19320214,0.2,0.5,0.4
19320215,0.6,0.3,0.2
19320221,0.5,0.6,0.3
19320222,1.1,1.2,0.9
19320223,0.8,0.9,0.4
19320224,0.4,0.3,0.1
19320306,1.4,1.5,0.6
19320307,6.2,5.3,2.2
19320308,1.8,3.6,3.0
19320309,0.3,0.5,0.5
19320310,0.2,0.3,0.2
19320317,0.3,0.2,0.1
19320328,2.9,6.7,2.9
19320329,3.0,2.0,0.8
19320330,6.0,7.5,1.8
19320331,1.5,5.3,3.2
19320401,1.3,1.4,0.9
19320402,4.2,5.4,1.9
19320403,3.2,1.8,0.5
19320404,0.9,0.2,0.2
19320406,13.3,13.7,2.0
19320407,3.7,10.6,3.3
19320408,1.8,3.2,0.8
19320409,3.8,3.9,1.7
19320410,6.5,6.1,2.7
19320411,5.7,5.9,2.9
19320412,4.2,10.3,2.8
19320413,0.1,0.1,0.1
19320414,0.1,0.1,0.1
19320416,1.1,0.5,0.1
19320420,0.3,0.2,0.1
19320421,2.3,3.7,1.1
19320422,0.8,1.8,1.0
19320423,1.5,3.1,1.3
19320426,0.9,1.9,1.7
19320427,1.5,2.7,2.0
19320428,2.7,1.5,0.4
19320429,4.6,6.8,3.7
19320501,3.2,6.2,3.1
19320502,2.7,3.0,1.2
19320503,4.7,7.3,1.9
19320504,4.4,6.4,2.1
19320505,0.1,0.2,0.2
19320509,2.1,3.9,1.8
19320510,1.9,1.0,0.5
19320511,0.2,0.1,0.1
19320512,2.4,1.8,0.7
19320516,2.3,1.4,0.5
19320517,1.0,0.7,0.3
19320519,0.6,0.4,0.4
19320522,0.8,0.9,0.7
19320523,2.3,6.9,4.0
19320524,3.4,5.4,2.3
19320525,2.2,0.9,0.4
19320528,0.2,0.2,0.2
19320530,0.3,0.5,0.3
19320531,3.6,2.7,0.9
19320601,3.5,3.7,2.0
19320605,0.5,0.2,0.1
19320606,0.6,0.2,0.1
19320608,0.2,0.2,0.2
19320620,2.4,1.7,0.8
19320621,1.4,2.6,2.2
19320622,7.5,25.7,10.7
19320625,1.6,1.2,0.5
19320628,0.8,1.4,0.6
19320701,4.0,9.6,5.5
19320702,0.1,0.3,0.3
19320706,3.4,3.6,1.8
19320707,0.2,0.1,0.1
19320712,4.2,5.8,1.8
19320716,3.3,6.7,3.1
19320717,2.6,10.9,7.3
19320719,0.2,0.2,0.1
19320720,2.8,5.5,3.4
19320721,0.5,0.6,0.3
19320722,1.7,3.4,2.8
19320723,0.3,0.1,0.1
19320725,3.2,1.7,0.6
19320726,5.1,15.3,5.3
19320727,1.5,11.3,3.4
19320728,8.4,15.6,3.6
19320729,2.3,1.9,0.9
19320801,1.1,3.9,2.1
19320802,0.4,1.4,0.7
19320803,1.8,0.5,0.2
19320804,0.3,0.2,0.1
19320807,0.2,0.4,0.4
19320812,1.9,8.1,3.3
19320813,0.7,0.3,0.2
19320814,0.5,1.0,0.6
19320821,0.6,1.1,0.9
19320822,1.5,5.3,2.6
19320824,0.2,0.2,0.1
19320827,1.3,7.3,5.6
19320830,2.7,6.7,3.1
19320831,0.7,1.4,0.7
19320901,1.6,0.5,0.2
19320902,4.4,5.9,2.1
19320903,13.3,42.8,8.9
